# Timestamp(ns);angle_cmd
1687075774851180800.000000;13.310487
1687075774861621248.000000;12.980113
1687075774871524352.000000;12.713422
1687075774881202432.000000;14.700572
1687075774889944064.000000;14.303509
1687075774900977920.000000;13.837914
1687075774910091520.000000;13.434601
1687075774920632832.000000;15.906396
1687075774929933056.000000;15.295359
1687075774939891200.000000;14.692596
1687075774949823488.000000;14.032067
1687075774961106176.000000;13.417442
1687075774970318080.000000;17.952383
1687075774979854080.000000;17.019058
1687075774989789184.000000;16.211452
1687075774999525632.000000;15.461442
1687075775011389952.000000;14.755533
1687075775020171008.000000;14.054150
1687075775031528704.000000;13.394481
1687075775039389184.000000;12.388569
1687075775050183168.000000;11.588767
1687075775062840320.000000;14.771415
1687075775071036928.000000;19.042374
1687075775079510016.000000;18.209356
1687075775089990912.000000;17.430794
1687075775100329472.000000;16.728762
1687075775112436992.000000;16.094240
1687075775123943168.000000;15.494972
1687075775129908992.000000;15.005070
1687075775139869184.000000;14.391936
1687075775150147328.000000;13.620268
1687075775160143104.000000;16.808228
1687075775171385344.000000;20.744108
1687075775179814912.000000;19.940830
1687075775190688256.000000;19.221621
1687075775200027904.000000;18.588589
1687075775210192384.000000;17.948629
1687075775223685888.000000;17.232965
1687075775231231744.000000;16.924536
1687075775240117760.000000;22.068808
1687075775250483968.000000;21.466875
1687075775263037952.000000;20.813339
1687075775271123456.000000;20.755018
1687075775280290304.000000;20.046738
1687075775291028992.000000;19.326185
1687075775301501440.000000;18.658487
1687075775310904064.000000;17.972292
1687075775319911936.000000;19.851141
1687075775330342656.000000;18.988102
1687075775341205760.000000;18.127060
1687075775350918144.000000;17.377748
1687075775360014080.000000;16.658369
1687075775369950464.000000;15.665887
1687075775380579584.000000;14.787473
1687075775390897920.000000;13.949063
1687075775400581888.000000;16.092171
1687075775412467712.000000;15.182467
1687075775419758080.000000;13.972916
1687075775429993728.000000;12.983691
1687075775440621056.000000;12.112028
1687075775451226624.000000;11.249520
1687075775460804352.000000;10.458287
1687075775470236672.000000;9.150091
1687075775480532224.000000;11.684267
1687075775490399232.000000;10.737821
1687075775500256000.000000;9.881435
1687075775512023808.000000;9.062767
1687075775519889152.000000;8.116526
1687075775529771008.000000;7.259120
1687075775540024832.000000;12.700732
1687075775550526976.000000;11.941401
1687075775559937536.000000;11.242498
1687075775570512896.000000;7.294605
1687075775580042752.000000;6.559876
1687075775590362368.000000;5.915523
1687075775600889856.000000;5.337358
1687075775609932544.000000;4.805726
1687075775619568384.000000;10.487800
1687075775631229696.000000;9.930227
1687075775639619840.000000;9.448755
1687075775649643008.000000;9.023702
1687075775661233920.000000;8.702826
1687075775671211008.000000;4.690927
1687075775679997440.000000;10.904498
1687075775690724096.000000;10.573310
1687075775701884160.000000;10.323629
1687075775712830720.000000;10.206435
1687075775720339200.000000;9.937289
1687075775730252288.000000;7.828365
1687075775739882752.000000;14.890379
1687075775750368256.000000;14.670343
1687075775761001472.000000;14.441160
1687075775771088640.000000;14.123871
1687075775780131584.000000;13.854175
1687075775789975296.000000;13.610619
1687075775799628544.000000;13.346585
1687075775810082304.000000;13.067670
1687075775819521792.000000;13.750735
1687075775830869248.000000;13.440577
1687075775840529664.000000;21.281786
1687075775851087360.000000;20.939196
1687075775861216256.000000;20.537939
1687075775871070720.000000;19.703630
1687075775880121856.000000;19.184391
1687075775889788672.000000;18.682106
1687075775902263808.000000;20.893267
1687075775911284992.000000;20.403131
1687075775919938048.000000;19.813429
1687075775930030592.000000;28.486744
1687075775940124928.000000;27.887808
1687075775950494208.000000;27.248774
1687075775961114880.000000;26.579370
1687075775970215168.000000;25.724211
1687075775980295936.000000;27.588106
1687075775990050304.000000;26.845499
1687075775999814144.000000;26.117025
1687075776009509120.000000;25.425528
1687075776020144384.000000;24.773994
1687075776031027200.000000;24.097975
1687075776039759360.000000;23.085346
1687075776050037760.000000;32.098206
1687075776060170752.000000;31.052408
1687075776070577664.000000;29.877207
1687075776079590144.000000;32.376495
1687075776089543424.000000;31.495380
1687075776099778304.000000;30.663582
1687075776111513856.000000;29.830391
1687075776120434176.000000;28.977348
1687075776130381568.000000;26.958759
1687075776140033792.000000;25.962536
1687075776150009856.000000;35.567062
1687075776161438720.000000;34.355423
1687075776170987520.000000;37.542580
1687075776179641344.000000;36.305176
1687075776190651136.000000;35.018345
1687075776201409536.000000;33.740574
1687075776211265536.000000;33.816231
1687075776220440832.000000;30.747654
1687075776230229248.000000;45.177525
1687075776240040192.000000;43.560215
1687075776250638848.000000;42.020264
1687075776260445952.000000;40.855289
1687075776270339584.000000;39.069252
1687075776279521536.000000;37.472042
1687075776289509888.000000;37.898331
1687075776300069376.000000;34.763603
1687075776311197696.000000;33.729969
1687075776321001216.000000;46.652767
1687075776330041344.000000;45.326134
1687075776340235008.000000;44.125305
1687075776349583872.000000;42.750648
1687075776360839936.000000;41.351479
1687075776369935872.000000;41.154179
1687075776379983104.000000;39.671738
1687075776390781440.000000;39.226475
1687075776400867072.000000;47.298023
1687075776410401536.000000;45.848408
1687075776419956480.000000;44.217590
1687075776430811648.000000;42.810287
1687075776440768512.000000;41.592434
1687075776450479616.000000;40.401188
1687075776461362944.000000;39.366703
1687075776471141376.000000;38.041943
1687075776480227072.000000;46.670826
1687075776490642176.000000;45.387829
1687075776500206848.000000;43.946114
1687075776510969088.000000;42.726906
1687075776519827968.000000;41.044167
1687075776530823680.000000;39.532326
1687075776540057088.000000;38.115417
1687075776550531840.000000;36.836121
1687075776562177536.000000;35.482220
1687075776569981696.000000;43.820427
1687075776579945472.000000;42.523613
1687075776590458368.000000;41.483658
1687075776601216000.000000;40.406845
1687075776611507456.000000;39.356277
1687075776620202496.000000;38.016151
1687075776631108352.000000;36.825848
1687075776639827712.000000;45.507404
1687075776649808640.000000;44.155125
1687075776661225984.000000;42.708611
1687075776670348288.000000;41.085045
1687075776680179200.000000;39.645794
1687075776690214656.000000;38.314217
1687075776699704832.000000;37.101414
1687075776712059904.000000;35.977047
1687075776720801792.000000;44.911018
1687075776729737216.000000;43.777683
1687075776740747776.000000;43.075733
1687075776749811200.000000;42.224892
1687075776761068544.000000;41.406918
1687075776770472960.000000;40.412254
1687075776780109568.000000;39.409588
1687075776790682368.000000;38.345634
1687075776800331008.000000;47.699085
1687075776810746624.000000;46.427841
1687075776820453376.000000;44.954197
1687075776831250176.000000;43.326378
1687075776839692032.000000;41.948105
1687075776850529792.000000;40.649979
1687075776862514944.000000;39.354599
1687075776869795584.000000;37.886368
1687075776880088064.000000;47.246159
1687075776891127808.000000;46.111904
1687075776900683520.000000;45.039806
1687075776910899200.000000;43.871243
1687075776919871744.000000;42.442806
1687075776930665216.000000;41.159481
1687075776940572160.000000;39.843483
1687075776951144192.000000;38.444660
1687075776961138944.000000;47.645256
1687075776969673216.000000;46.002388
1687075776979944192.000000;44.390133
1687075776990218240.000000;42.959888
1687075776999833600.000000;41.595551
1687075777011415296.000000;40.221684
1687075777020685568.000000;38.836887
1687075777030086912.000000;37.500217
1687075777040947712.000000;36.047672
1687075777049484800.000000;45.093975
