# Timestamp(ns);gear_cmd;accelerator_cmd;brake_cmd
1687076052031332864.000000;1.000000;-5.263158;0.000000
1687076052090483968.000000;1.000000;-5.263158;0.000000
1687076052130456576.000000;1.000000;-5.263158;0.000000
1687076052190839296.000000;1.000000;-5.263158;0.000000
1687076052230569984.000000;1.000000;-5.263158;0.000000
1687076052271683328.000000;1.000000;-5.263158;0.000000
1687076052351383552.000000;1.000000;-5.263158;0.000000
1687076052370739456.000000;1.000000;-5.263158;0.000000
1687076052431216640.000000;1.000000;-5.263158;0.000000
1687076052470927616.000000;1.000000;-5.263158;0.000000
1687076052530978560.000000;1.000000;-5.263158;0.000000
1687076052570283264.000000;1.000000;-5.263158;0.000000
1687076052630917120.000000;1.000000;-5.263158;0.000000
1687076052690992384.000000;1.000000;-5.263158;0.000000
1687076052731452928.000000;1.000000;-5.263158;0.000000
1687076052770609920.000000;1.000000;-5.263158;0.000000
1687076052850569216.000000;1.000000;-5.263158;0.000000
1687076052891038464.000000;1.000000;-5.263158;0.000000
1687076052952390912.000000;1.000000;-5.263158;0.000000
1687076052971309056.000000;1.000000;-5.263158;0.000000
1687076053031723520.000000;1.000000;-5.263158;0.000000
1687076053090276352.000000;1.000000;-5.263158;0.000000
1687076053134166016.000000;1.000000;-5.263158;0.000000
1687076053190869760.000000;1.000000;-5.263158;0.000000
1687076053230387456.000000;1.000000;-5.263158;0.000000
1687076053290124800.000000;1.000000;-5.263158;0.000000
1687076053330668544.000000;1.000000;-5.263158;0.000000
1687076053370539264.000000;1.000000;-5.263158;0.000000
1687076053430894080.000000;1.000000;-5.263158;0.000000
1687076053491377152.000000;1.000000;-5.263158;0.000000
1687076053530626560.000000;1.000000;-5.263158;0.000000
1687076053570816000.000000;1.000000;-5.263158;0.000000
1687076053630927616.000000;1.000000;-5.263158;0.000000
1687076053670655232.000000;1.000000;-5.263158;0.000000
1687076053730928640.000000;1.000000;-5.263158;0.000000
1687076053771485184.000000;1.000000;-5.263158;0.000000
1687076053830434560.000000;1.000000;-5.263158;0.000000
1687076053871552000.000000;1.000000;-5.263158;0.000000
1687076053931067904.000000;1.000000;-5.263158;0.000000
1687076053991284480.000000;1.000000;-5.263158;0.000000
1687076054031411200.000000;1.000000;-5.263158;0.000000
1687076054075522048.000000;1.000000;-5.263158;0.000000
1687076054131673856.000000;1.000000;-5.263158;0.000000
